grid_id,date,pm2_5,pm10,so2,no2,o3,co,lat,lon,temperature,humidity,relative_humidity,precipitation,wind_speed,gust_speed,atmospheric_pressure,cultivated_area,forest_area,grassland_area,water_body_area,urban_vs_rural,unused_land_area,ocean_area,elevation,aerosol_optical_depth,weekday,day,year,month,population,population_weight
11615,2019-12-01,72.75,71.29166666666667,7.833333333333334,21.041666666666664,30.875,0.9625,29.5,113.0,8.00856,0.00402725,66.0,14.65638775,77.361803,4.84056575,11361.989502,325549216.0,4640381.0,678396.38,245962272.0,38435144.0,46511192.0,0.0,27.2507992,0.0,6,1,2019,12,360932.847992897,0.000249901931753
11616,2019-12-01,59.32083333333334,75.35416666666666,6.516666666666668,27.3125,26.579166666666666,1.040625,29.5,113.25,7.3335645,0.004076,70.5,14.581387500000002,77.26180275,4.31556575,11404.98950175,203579152.0,246317472.0,2962695.5,135819488.0,71988672.0,10109147.0,0.0,60.5108986,0.0,6,1,2019,12,440402.420165062,0.0003049249082204
11627,2019-12-01,36.80416666666667,31.895833333333336,5.583333333333334,23.291666666666664,31.5,0.6604166666666667,29.5,116.0,6.683555500000001,0.0041225,90.25,16.256387750000002,75.936804,3.1655660000000005,10870.989502,192123040.0,277765664.0,29287480.0,131020952.0,39085036.0,2494447.0,0.0,245.6909943,0.0,6,1,2019,12,271051.4014878124,0.0001876700034725
5137,2019-12-01,37.01041666666667,59.58333333333333,19.15625,34.78125,40.0625,0.8947916666666668,23.0,112.0,16.40856925,0.00614575,5.25,21.78138775,34.136799,2.490566,9327.5893555,101143008.0,541499904.0,6063838.0,18662966.0,42259168.0,0.0,0.0,209.9850006,0.0,6,1,2019,12,341149.6248779297,0.0002362044650352
19835,2019-12-01,37.625,87.04166666666666,16.75,30.625,41.875,0.9625,37.75,113.75,-2.61644,0.001217,41.75,2.53138725,44.91179925,9.79056575,26336.390625,182091072.0,95527072.0,262836944.0,4000000.0,66916392.0,0.0,0.0,885.434021,0.143,6,1,2019,12,229000.99010849,0.0001585552274327
18083,2019-12-01,70.67708333333334,101.17291666666668,20.410416666666663,35.19375,29.916666666666668,1.8916666666666664,36.0,111.5,4.3835755,0.00135125,30.75,4.3563875,49.31179775,5.365566,26757.989746,474700384.0,19687650.0,3290932.0,11246215.0,116371224.0,0.0,0.0,502.3819885,0.4,6,1,2019,12,989635.2246208192,0.0006852015707045
23187,2019-12-01,57.5125,159.66666666666669,11.4625,46.50416666666666,38.24583333333334,1.3245833333333334,41.25,80.25,-1.81643675,0.0021939999999999,65.0,5.0063875,22.586799,1.24056575,24165.5893555,410546912.0,19833762.0,21583366.0,5649624.0,109478888.0,14707704.0,0.0,1159.930054,0.2125,6,1,2019,12,414646.2021573186,0.0002870918717689
11632,2019-12-01,20.541666666666668,28.58333333333333,4.791666666666667,23.45833333333333,18.875,0.7000000000000001,29.5,117.25,5.23355875,0.00464475,79.0,17.73138775,74.611803,3.04056575,17767.18945325,77645112.0,574364224.0,9988704.0,1000000.0,8778555.0,0.0,0.0,149.3040009,0.0,6,1,2019,12,85082.53633499146,5.890926887591505e-05
11776,2019-12-01,19.70833333333333,52.24305555555555,5.916666666666667,36.10833333333333,50.138888888888886,0.8444444444444444,29.75,91.0,-2.99143975,0.00083575,21.75,1.35638725,72.186802,3.11556575,11318.189209,43606832.0,75542648.0,371215776.0,16258260.0,66020888.0,97501136.0,0.0,4509.740234,0.0,6,1,2019,12,153057.15299224854,0.0001059733920425
11777,2019-12-01,12.541666666666666,37.5,6.645833333333334,27.6875,56.0,0.6041666666666667,29.75,91.25,-3.2414397500000005,0.00108325,30.5,1.65638725,71.61180325,2.61556575,11316.58959975,42680340.0,29061012.0,495943136.0,27324796.0,49974212.0,25162036.0,0.0,4241.27002,0.0,6,1,2019,12,216285.9242286682,0.0001497515966648
18062,2019-12-01,12.75,40.20833333333333,9.916666666666666,16.25,66.45833333333334,0.4562499999999999,36.0,106.25,-4.81643675,0.001358,46.5,2.8813872500000004,51.136801,8.51556575,26138.39013675,282458336.0,59103796.0,215653696.0,14470233.0,50610328.0,3000000.0,0.0,1871.01001,0.386,6,1,2019,12,211947.9459095001,0.0001467480762928
11789,2019-12-01,4.083333333333333,12.270833333333334,7.812500000000001,6.229166666666667,62.37083333333333,0.4979166666666667,29.75,94.25,-4.716438500000001,0.00308575,82.0,3.95638725,73.761803,2.06556575,11262.38916,8307927.0,269296448.0,338983904.0,22593910.0,14250921.0,16712428.0,0.0,4060.580078,0.0,6,1,2019,12,33190.59261587262,2.298043322146805e-05
5127,2019-12-01,30.944444444444446,51.86111111111112,11.986111111111112,24.70833333333333,22.45833333333333,0.9222222222222222,23.0,109.5,12.90856175,0.00560325,24.25,23.55638775,35.2367995,8.715565999999999,9654.5893555,500233728.0,64728672.0,17773488.0,28380352.0,98512576.0,0.0,0.0,59.8824005,0.0,6,1,2019,12,509406.2336578369,0.0003527016245433
25863,2019-12-01,10.416666666666666,19.166666666666668,10.333333333333334,6.708333333333333,62.79166666666666,0.3291666666666666,43.75,126.75,-10.09143075,0.00127625,77.75,2.83138725,44.8868,3.1405657500000004,26256.58935525,92153624.0,382100288.0,2184328.75,71615032.0,11263849.0,0.0,0.0,349.6929932,0.0,6,1,2019,12,26339.871133301407,1.82371449840108e-05
18054,2019-12-01,31.333333333333336,56.04166666666667,6.208333333333333,31.208333333333336,54.91666666666666,0.9541666666666668,36.0,104.25,-4.79143525,0.00177825,61.25,4.08138725,51.96179975,1.69056575,26083.58935525,157715520.0,5041019.5,429727680.0,4280761.5,15515456.0,13015963.0,0.0,2033.469971,0.0,6,1,2019,12,82835.64886450768,5.7353573620057735e-05
